sent_text,lemmas_and_tags,link,author,name
"- Джеймс, пойми...","[['-', '-', 'None'], ['Джеймс', 'джеймс', 'NOUN'], [',', ',', 'None'], ['пойми', 'понять', 'VERB'], ['...', '...', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
- Нет! - отрезал муж.,"[['-', '-', 'None'], ['Нет', 'нет', 'PRED'], ['!', '!', 'None'], ['-', '-', 'None'], ['отрезал', 'отрезать', 'VERB'], ['муж', 'муж', 'NOUN'], ['.', '.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
- Покидать страну в такой сложный момент - не благородно.,"[['-', '-', 'None'], ['Покидать', 'покидать', 'VERB'], ['страну', 'страна', 'NOUN'], ['в', 'в', 'PREP'], ['такой', 'такой', 'ADJ'], ['сложный', 'сложный', 'ADJ'], ['момент', 'момент', 'NOUN'], ['-', '-', 'None'], ['не', 'не', 'PRCL'], ['благородно', 'благородно', 'ADVB'], ['.', '.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"Мы не можем бросить на произвол судьбы Орден феникса, наших товарищей, директора - они все рассчитывают на нас.","[['Мы', 'мы', 'NPRO'], ['не', 'не', 'PRCL'], ['можем', 'мочь', 'VERB'], ['бросить', 'бросить', 'VERB'], ['на', 'на', 'PREP'], ['произвол', 'произвол', 'NOUN'], ['судьбы', 'судьба', 'NOUN'], ['Орден', 'орден', 'NOUN'], ['феникса', 'феникс', 'NOUN'], [',', ',', 'None'], ['наших', 'наш', 'ADJ'], ['товарищей', 'товарищ', 'NOUN'], [',', ',', 'None'], ['директора', 'директор', 'NOUN'], ['-', '-', 'None'], ['они', 'они', 'NPRO'], ['все', 'весь', 'ADJ'], ['рассчитывают', 'рассчитывать', 'VERB'], ['на', 'на', 'PREP'], ['нас', 'мы', 'NPRO'], ['.', '.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
Как ты не понимаешь?!,"[['Как', 'как', 'CONJ'], ['ты', 'ты', 'NPRO'], ['не', 'не', 'PRCL'], ['понимаешь', 'понимать', 'VERB'], ['?', '?', 'None'], ['!', '!', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"Лили вздохнула, потерла переносицу.","[['Лили', 'лить', 'VERB'], ['вздохнула', 'вздохнуть', 'VERB'], [',', ',', 'None'], ['потерла', 'потереть', 'VERB'], ['переносицу', 'переносица', 'NOUN'], ['.', '.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
Эти беседы велись не первый месяц - с тех пор как поставили Фиделиус на домик в Годриковой Впадине - и ни к чему не приводили.,"[['Эти', 'этот', 'ADJ'], ['беседы', 'беседа', 'NOUN'], ['велись', 'вестись', 'VERB'], ['не', 'не', 'PRCL'], ['первый', 'один', 'ADJ'], ['месяц', 'месяц', 'NOUN'], ['-', '-', 'None'], ['с', 'с', 'PREP'], ['тех', 'тот', 'ADJ'], ['пор', 'пора', 'NOUN'], ['как', 'как', 'CONJ'], ['поставили', 'поставить', 'VERB'], ['Фиделиус', 'фиделиус', 'NOUN'], ['на', 'на', 'PREP'], ['домик', 'домик', 'NOUN'], ['в', 'в', 'PREP'], ['Годриковой', 'годрикова', 'NOUN'], ['Впадине', 'впадина', 'NOUN'], ['-', '-', 'None'], ['и', 'и', 'CONJ'], ['ни', 'ни', 'PRCL'], ['к', 'к', 'PREP'], ['чему', 'что', 'NPRO'], ['не', 'не', 'PRCL'], ['приводили', 'приводить', 'VERB'], ['.', '.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"Джеймс уходил на задания, к ним забегал Сириус, который считал, что чете Поттер обязательно нужно остаться в Англии.","[['Джеймс', 'джеймс', 'NOUN'], ['уходил', 'уходить', 'VERB'], ['на', 'на', 'PREP'], ['задания', 'задание', 'NOUN'], [',', ',', 'None'], ['к', 'к', 'PREP'], ['ним', 'он', 'NPRO'], ['забегал', 'забегать', 'VERB'], ['Сириус', 'сириус', 'NOUN'], [',', ',', 'None'], ['который', 'который', 'ADJ'], ['считал', 'считать', 'VERB'], [',', ',', 'None'], ['что', 'что', 'CONJ'], ['чете', 'чета', 'NOUN'], ['Поттер', 'поттер', 'NOUN'], ['обязательно', 'обязательно', 'ADVB'], ['нужно', 'нужно', 'PRED'], ['остаться', 'остаться', 'VERB'], ['в', 'в', 'PREP'], ['Англии', 'англия', 'NOUN'], ['.', '.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"По мнению миссис Поттер, животной формой драгоценного супруга должен быть не олень, а баран.","[['По', 'по', 'PREP'], ['мнению', 'мнение', 'NOUN'], ['миссис', 'миссис', 'NOUN'], ['Поттер', 'поттер', 'NOUN'], [',', ',', 'None'], ['животной', 'животный', 'ADJ'], ['формой', 'форма', 'NOUN'], ['драгоценного', 'драгоценный', 'ADJ'], ['супруга', 'супруг', 'NOUN'], ['должен', 'должный', 'ADJ'], ['быть', 'быть', 'VERB'], ['не', 'не', 'PRCL'], ['олень', 'олень', 'NOUN'], [',', ',', 'None'], ['а', 'а', 'CONJ'], ['баран', 'баран', 'NOUN'], ['.', '.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
И у его дружка тоже.,"[['И', 'и', 'CONJ'], ['у', 'у', 'PREP'], ['его', 'он', 'NPRO'], ['дружка', 'дружка', 'NOUN'], ['тоже', 'тоже', 'ADVB'], ['.', '.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"Как они не понимают, что рискуют самым ценным - жизнью Гарри?","[['Как', 'как', 'CONJ'], ['они', 'они', 'NPRO'], ['не', 'не', 'PRCL'], ['понимают', 'понимать', 'VERB'], [',', ',', 'None'], ['что', 'что', 'CONJ'], ['рискуют', 'рисковать', 'VERB'], ['самым', 'самый', 'ADJ'], ['ценным', 'ценный', 'ADJ'], ['-', '-', 'None'], ['жизнью', 'жизнь', 'NOUN'], ['Гарри', 'гарри', 'NOUN'], ['?', '?', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"Лили прикусила губу, взглянула на упрямо выставившего подбородок мужа...","[['Лили', 'лить', 'VERB'], ['прикусила', 'прикусить', 'VERB'], ['губу', 'губа', 'NOUN'], [',', ',', 'None'], ['взглянула', 'взглянуть', 'VERB'], ['на', 'на', 'PREP'], ['упрямо', 'упрямо', 'ADVB'], ['выставившего', 'выставить', 'PRT'], ['подбородок', 'подбородок', 'NOUN'], ['мужа', 'муж', 'NOUN'], ['...', '...', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
- Это твой окончательный ответ? - осведомилась она.,"[['-', '-', 'None'], ['Это', 'это', 'PRCL'], ['твой', 'твой', 'ADJ'], ['окончательный', 'окончательный', 'ADJ'], ['ответ', 'ответ', 'NOUN'], ['?', '?', 'None'], ['-', '-', 'None'], ['осведомилась', 'осведомиться', 'VERB'], ['она', 'она', 'NPRO'], ['.', '.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"Будь Джеймс повнимательнее, он бы узнал стальные нотки, присущие бывшей старосте Гриффиндора, Лили Эванс, с которой  даже слизеринцы боялись связываться.","[['Будь', 'быть', 'VERB'], ['Джеймс', 'джеймс', 'NOUN'], ['повнимательнее', 'внимательный', 'COMP'], [',', ',', 'None'], ['он', 'он', 'NPRO'], ['бы', 'бы', 'PRCL'], ['узнал', 'узнать', 'VERB'], ['стальные', 'стальной', 'ADJ'], ['нотки', 'нотка', 'NOUN'], [',', ',', 'None'], ['присущие', 'присущий', 'ADJ'], ['бывшей', 'бывший', 'ADJ'], ['старосте', 'староста', 'NOUN'], ['Гриффиндора', 'гриффиндор', 'NOUN'], [',', ',', 'None'], ['Лили', 'лить', 'VERB'], ['Эванс', 'эванс', 'NOUN'], [',', ',', 'None'], ['с', 'с', 'PREP'], ['которой', 'который', 'ADJ'], ['даже', 'даже', 'PRCL'], ['слизеринцы', 'слизеринец', 'NOUN'], ['боялись', 'бояться', 'VERB'], ['связываться', 'связываться', 'VERB'], ['.', '.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"Только наивные считали, что один лишь Северус придумывает темные заклинания - на воображение студентка Эванс никогда не жаловалась.","[['Только', 'только', 'PRCL'], ['наивные', 'наивный', 'ADJ'], ['считали', 'считать', 'VERB'], [',', ',', 'None'], ['что', 'что', 'CONJ'], ['один', 'один', 'ADJ'], ['лишь', 'лишь', 'PRCL'], ['Северус', 'северусый', 'ADJ'], ['придумывает', 'придумывать', 'VERB'], ['темные', 'тёмный', 'ADJ'], ['заклинания', 'заклинание', 'NOUN'], ['-', '-', 'None'], ['на', 'на', 'PREP'], ['воображение', 'воображение', 'NOUN'], ['студентка', 'студентка', 'NOUN'], ['Эванс', 'эванс', 'NOUN'], ['никогда', 'никогда', 'ADVB'], ['не', 'не', 'PRCL'], ['жаловалась', 'жаловаться', 'VERB'], ['.', '.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"- Да, это мой окончательный ответ.","[['-', '-', 'None'], ['Да', 'да', 'PRCL'], [',', ',', 'None'], ['это', 'это', 'PRCL'], ['мой', 'мой', 'ADJ'], ['окончательный', 'окончательный', 'ADJ'], ['ответ', 'ответ', 'NOUN'], ['.', '.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
Мы остаемся! - гордо выпрямился Джеймс.,"[['Мы', 'мы', 'NPRO'], ['остаемся', 'оставаться', 'VERB'], ['!', '!', 'None'], ['-', '-', 'None'], ['гордо', 'гордо', 'ADVB'], ['выпрямился', 'выпрямиться', 'VERB'], ['Джеймс', 'джеймс', 'NOUN'], ['.', '.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"- Прости, ты не оставил мне выбора.","[['-', '-', 'None'], ['Прости', 'простить', 'VERB'], [',', ',', 'None'], ['ты', 'ты', 'NPRO'], ['не', 'не', 'PRCL'], ['оставил', 'оставить', 'VERB'], ['мне', 'я', 'NPRO'], ['выбора', 'выбор', 'NOUN'], ['.', '.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"Мы уезжаем, - Лили взмахнула палочкой, и муж, парализованный, упал на пол.  Женщина отлевитировала его к стене, связала невидимыми путами, закрепила их, чтобы точно не распались, если вдруг она отвлечется.","[['Мы', 'мы', 'NPRO'], ['уезжаем', 'уезжать', 'VERB'], [',', ',', 'None'], ['-', '-', 'None'], ['Лили', 'лить', 'VERB'], ['взмахнула', 'взмахнуть', 'VERB'], ['палочкой', 'палочка', 'NOUN'], [',', ',', 'None'], ['и', 'и', 'CONJ'], ['муж', 'муж', 'NOUN'], [',', ',', 'None'], ['парализованный', 'парализовать', 'PRT'], [',', ',', 'None'], ['упал', 'упасть', 'VERB'], ['на', 'на', 'PREP'], ['пол', 'половина', 'NOUN'], ['.', '.', 'None'], ['Женщина', 'женщина', 'NOUN'], ['отлевитировала', 'отлевитировать', 'VERB'], ['его', 'он', 'NPRO'], ['к', 'к', 'PREP'], ['стене', 'стена', 'NOUN'], [',', ',', 'None'], ['связала', 'связать', 'VERB'], ['невидимыми', 'невидимый', 'ADJ'], ['путами', 'путы', 'NOUN'], [',', ',', 'None'], ['закрепила', 'закрепить', 'VERB'], ['их', 'они', 'NPRO'], [',', ',', 'None'], ['чтобы', 'чтобы', 'CONJ'], ['точно', 'точно', 'ADVB'], ['не', 'не', 'PRCL'], ['распались', 'распалиться', 'VERB'], [',', ',', 'None'], ['если', 'если', 'CONJ'], ['вдруг', 'вдруг', 'ADVB'], ['она', 'она', 'NPRO'], ['отвлечется', 'отвлечься', 'VERB'], ['.', '.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"Повинуясь магии, со второго этажа слетела темно-красная дорожная сумка с длинной ручкой.","[['Повинуясь', 'повиноваться', 'GRND'], ['магии', 'магия', 'NOUN'], [',', ',', 'None'], ['со', 'с', 'PREP'], ['второго', 'два', 'ADJ'], ['этажа', 'этаж', 'NOUN'], ['слетела', 'слететь', 'VERB'], ['темно-красная', 'тёмно-красный', 'ADJ'], ['дорожная', 'дорожный', 'ADJ'], ['сумка', 'сумка', 'NOUN'], ['с', 'с', 'PREP'], ['длинной', 'длинный', 'ADJ'], ['ручкой', 'ручка', 'NOUN'], ['.', '.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"Лежащий у стены Джеймс расширенными глазами наблюдал, как Лили терпеливо и методично укладывает в нее вещи, страховые, паспорта, денежную заначку.","[['Лежащий', 'лежать', 'PRT'], ['у', 'у', 'PREP'], ['стены', 'стена', 'NOUN'], ['Джеймс', 'джеймс', 'NOUN'], ['расширенными', 'расширить', 'PRT'], ['глазами', 'глаз', 'NOUN'], ['наблюдал', 'наблюдать', 'VERB'], [',', ',', 'None'], ['как', 'как', 'CONJ'], ['Лили', 'лить', 'VERB'], ['терпеливо', 'терпеливо', 'ADVB'], ['и', 'и', 'CONJ'], ['методично', 'методично', 'ADVB'], ['укладывает', 'укладывать', 'VERB'], ['в', 'в', 'PREP'], ['нее', 'нея', 'NOUN'], ['вещи', 'вещий', 'ADJ'], [',', ',', 'None'], ['страховые', 'страховой', 'ADJ'], [',', ',', 'None'], ['паспорта', 'паспорт', 'NOUN'], [',', ',', 'None'], ['денежную', 'денежный', 'ADJ'], ['заначку', 'заначка', 'NOUN'], ['.', '.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"Входная дверь распахнулась, в дом влетел Бродяга.","[['Входная', 'входной', 'ADJ'], ['дверь', 'дверь', 'NOUN'], ['распахнулась', 'распахнуться', 'VERB'], [',', ',', 'None'], ['в', 'в', 'PREP'], ['дом', 'дом', 'NOUN'], ['влетел', 'влететь', 'VERB'], ['Бродяга', 'бродяга', 'NOUN'], ['.', '.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"- Сохатый, мы...","[['-', '-', 'None'], ['Сохатый', 'сохатый', 'ADJ'], [',', ',', 'None'], ['мы', 'мы', 'NPRO'], ['...', '...', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
Сириус прилег рядом с Джеймсом по взмаху палочки миссис Поттер.,"[['Сириус', 'сириус', 'NOUN'], ['прилег', 'прилечь', 'VERB'], ['рядом', 'ряд', 'NOUN'], ['с', 'с', 'PREP'], ['Джеймсом', 'джеймс', 'NOUN'], ['по', 'по', 'PREP'], ['взмаху', 'взмах', 'NOUN'], ['палочки', 'палочка', 'NOUN'], ['миссис', 'миссис', 'NOUN'], ['Поттер', 'поттер', 'NOUN'], ['.', '.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"Лили задумчиво обвела взглядом комнату, проверяя, все ли взяла, ничего не забыла.","[['Лили', 'лить', 'VERB'], ['задумчиво', 'задумчиво', 'ADVB'], ['обвела', 'обвести', 'VERB'], ['взглядом', 'взгляд', 'NOUN'], ['комнату', 'комната', 'NOUN'], [',', ',', 'None'], ['проверяя', 'проверять', 'GRND'], [',', ',', 'None'], ['все', 'весь', 'ADJ'], ['ли', 'ли', 'PRCL'], ['взяла', 'взять', 'VERB'], [',', ',', 'None'], ['ничего', 'ничто', 'NPRO'], ['не', 'не', 'PRCL'], ['забыла', 'забыть', 'VERB'], ['.', '.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"- Джеймс, прости, но на тебя документы оформить было сложно, поэтому поедешь в багаже, - мило улыбнулась ведьма.","[['-', '-', 'None'], ['Джеймс', 'джеймс', 'NOUN'], [',', ',', 'None'], ['прости', 'простить', 'VERB'], [',', ',', 'None'], ['но', 'но', 'CONJ'], ['на', 'на', 'PREP'], ['тебя', 'ты', 'NPRO'], ['документы', 'документ', 'NOUN'], ['оформить', 'оформить', 'VERB'], ['было', 'быть', 'VERB'], ['сложно', 'сложно', 'ADVB'], [',', ',', 'None'], ['поэтому', 'поэтому', 'ADVB'], ['поедешь', 'поехать', 'VERB'], ['в', 'в', 'PREP'], ['багаже', 'багаж', 'NOUN'], [',', ',', 'None'], ['-', '-', 'None'], ['мило', 'мило', 'ADVB'], ['улыбнулась', 'улыбнуться', 'VERB'], ['ведьма', 'ведьма', 'NOUN'], ['.', '.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
В следующий момент на месте мужа квакала огромная жаба.,"[['В', 'в', 'PREP'], ['следующий', 'следующий', 'ADJ'], ['момент', 'момент', 'NOUN'], ['на', 'на', 'PREP'], ['месте', 'место', 'NOUN'], ['мужа', 'муж', 'NOUN'], ['квакала', 'квакать', 'VERB'], ['огромная', 'огромный', 'ADJ'], ['жаба', 'жаба', 'NOUN'], ['.', '.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"Лили посадила ее в специально зачарованную банку, подписала - чтобы не перепутать.","[['Лили', 'лить', 'VERB'], ['посадила', 'посадить', 'VERB'], ['ее', 'она', 'NPRO'], ['в', 'в', 'PREP'], ['специально', 'специально', 'ADVB'], ['зачарованную', 'зачаровать', 'PRT'], ['банку', 'банка', 'NOUN'], [',', ',', 'None'], ['подписала', 'подписать', 'VERB'], ['-', '-', 'None'], ['чтобы', 'чтобы', 'CONJ'], ['не', 'не', 'PRCL'], ['перепутать', 'перепутать', 'VERB'], ['.', '.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
И с улыбкой повернулась к крестному своего сына.,"[['И', 'и', 'CONJ'], ['с', 'с', 'PREP'], ['улыбкой', 'улыбка', 'NOUN'], ['повернулась', 'повернуться', 'VERB'], ['к', 'к', 'PREP'], ['крестному', 'крестный', 'ADJ'], ['своего', 'свой', 'ADJ'], ['сына', 'сын', 'NOUN'], ['.', '.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
У Сириуса предательски заныло где-то в желудке.,"[['У', 'у', 'PREP'], ['Сириуса', 'сириус', 'NOUN'], ['предательски', 'предательски', 'ADVB'], ['заныло', 'заныть', 'VERB'], ['где-то', 'где-то', 'ADVB'], ['в', 'в', 'PREP'], ['желудке', 'желудок', 'NOUN'], ['.', '.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"- Ты следующий, Бродяга.","[['-', '-', 'None'], ['Ты', 'ты', 'NPRO'], ['следующий', 'следующий', 'ADJ'], [',', ',', 'None'], ['Бродяга', 'бродяга', 'NOUN'], ['.', '.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"Недостаток Годриковой впадины в том, что отсюда нельзя сбежать, не попав на глаза соседям, что в случае Лили было некстати.","[['Недостаток', 'недостаток', 'NOUN'], ['Годриковой', 'годрикова', 'NOUN'], ['впадины', 'впадина', 'NOUN'], ['в', 'в', 'PREP'], ['том', 'тот', 'ADJ'], [',', ',', 'None'], ['что', 'что', 'CONJ'], ['отсюда', 'отсюда', 'ADVB'], ['нельзя', 'нельзя', 'PRED'], ['сбежать', 'сбежать', 'VERB'], [',', ',', 'None'], ['не', 'не', 'PRCL'], ['попав', 'попасть', 'GRND'], ['на', 'на', 'PREP'], ['глаза', 'глаз', 'NOUN'], ['соседям', 'сосед', 'NOUN'], [',', ',', 'None'], ['что', 'что', 'CONJ'], ['в', 'в', 'PREP'], ['случае', 'случай', 'NOUN'], ['Лили', 'лить', 'VERB'], ['было', 'быть', 'VERB'], ['некстати', 'некстати', 'ADVB'], ['.', '.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"К счастью, имелся у нее запасной вариант.","[['К', 'к', 'PREP'], ['счастью', 'счастие', 'NOUN'], [',', ',', 'None'], ['имелся', 'иметься', 'VERB'], ['у', 'у', 'PREP'], ['нее', 'нея', 'NOUN'], ['запасной', 'запасный', 'ADJ'], ['вариант', 'вариант', 'NOUN'], ['.', '.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
"- Леди Вальбурга, это Лили Поттер.","[['-', '-', 'None'], ['Леди', 'леди', 'NOUN'], ['Вальбурга', 'вальбург', 'NOUN'], [',', ',', 'None'], ['это', 'это', 'PRCL'], ['Лили', 'лить', 'VERB'], ['Поттер', 'поттер', 'NOUN'], ['.', '.', 'None']]",https://ficbook.net/readfic/4678689,Шион Недзуми,Бывшая староста Гриффиндора
